Date,Time,Title,Track,Instructor,Room,Description
2024-02-18,12:00 p.m.,"The Wheel of Persuasion: How To Build Trust, Create Believability, and Inspire Action With the Written Word",Email Marketing,"Instructor: Alex Cattoni",29ABCD,"You have a valuable product, a ready audience, and a great offer – but no one is buying. WHY? One of the BIGGEST conversion killers made in sales messaging today is jumping straight from problem… to product. If you want to massively boost the conversion rate of your emails, offers, and ads, you need to know how to build trust, create believability, and inspire action BEFORE making an offer. In this workshop, Alex Cattoni, Founder of the Copy Posse and 2022 DigitalMarketer of the Year, will walk you step-by-step through her Wheel of Persuasion – 6 powerful prompts that will help you indoctrinate, educate, and empathize with your prospects so that they do not only believe in your product… but WANT to buy it!  You'll leave this session with a persuasive messaging roadmap and positioning strategy for your marketing."
2024-02-18,12:00 p.m.,"Video Strategy for Business: Leveraging a Proven Framework for Repeatable Success",Video Strategy,"Instructor: Ben Amos",30ABCDE,"In 2024, the importance of video in business growth can't be ignored. However, with the digital landscape inundated with content, producing videos without a well-defined strategy risks them being lost in the noise and failing to return on your investment. It's not just about creating; it's about using video strategically for tangible business results. In this workshop, Ben offers a deep dive into the essentials of effective video strategy. This workshop isn't about the how-to of video production but rather the planning and alignment with business objectives to ensure your content resonates throughout the customer journey and is set up for success for your business. During this workshop, attendees will: Understand the distinction between creating 'video for video's sake' and strategic video planning. Uncover the seven core elements integral to a successful video strategy. Walk through a simple but highly effective framework for developing a tailored video strategy that aligns with specific business goals. Learn methods to secure organizational buy-in (and budgets) for a cohesive transition from planning to execution. Key Takeaways: Insight into the components of an effective video strategy for business regardless of industry. A structured and repeatable template to guide future video planning endeavors. A process you can use immediately to either plan your next strategic video or a comprehensive full-year video strategy across your organization Preparatory Work: While no prior preparation is mandatory, attendees are encouraged to come with a basic understanding of their business goals and target audience. This will allow for a more personalized and productive workshop experience."
2024-02-18,02:00 p.m.,"SEO Ranking in 2024: How to Create Content That Delivers Search Traffic",Search Engine Optimization,"Instructor: Jeff Oxford",29ABCD,"Does your content struggle to drive search traffic? Frustrated by competitors outranking your content? In this session, you'll learn exactly how to create content that can drive massive traffic (and conversions). You'll also learn advanced content optimization techniques that are powerful yet easy to implement. Having dissected hundreds of Google Search patents while building his own content optimization tools, Jeff can show you exactly how to create optimized content that ranks at the top of search engines."
2024-02-18,02:00 p.m.,"Using the Power of Story in Business: Theory and Practice for Marketers",Storytelling,"Instructor: Dr. J.J. Peterson",30ABCDE,
2024-02-18,04:00 p.m.,"From Ideas to Production: The Complete Content Marketing System",Content Marketing,"Instructor: Melanie Deziel",30ABCDE,"Most marketers spend lots of time optimizing their content but nowhere near enough time optimizing the processes that make that content possible. Streamlined content operations can help improve content quality, increase productivity, boost team morale and collaboration, and ultimately make content a more cost-efficient tool in your tool belt. Led by one of the world's leading experts in content marketing and creative systems, this actionable workshop will guide improving processes and systems in each of the primary areas where most creators and marketing teams can benefit from it: content idea generation, creation workflow & post-publication operations. Bring your voice and be ready to engage in ample Q&A. While no other advanced preparation is needed, you can maximize your benefit by coming to the session with a specific content project or campaign in mind, so you can apply the learnings to specific things you're working on rather than attempting to apply them in the abstract. Key takeaways: - A reusable framework for generating unlimited new content ideas - A system for strategically repurposing your content to maximize ROI - Useful workarounds for common process bottlenecks - Advice on useful documentation to optimize content processes"
2024-02-18,04:00 p.m.,"How to Make Referrals Your Most Effective Marketing Channel",Referral Marketing,"Instructor: John Jantsch",29ABCD,"Everyone knows that referrals are the best leads going, but for some reason, no one seems to do anything to intentionally generate more or even view it as a potent channel. In this session, John Jantsch, author of The Referral Engine, a Wall St Journal best seller, will share a complete system for making referral generation easy and automatic. Forget about begging for referrals - Jantsch will show participants how to generate referrals without asking - B2C and B2B businesses will want to learn these tactics. Look to learn: The Referral Mindset you must adapt How to generate ideal referrals How to build referrals into the sales process How to get client referrals without asking How to develop potent referral partnerships How to teach referral generation"
2024-02-19,08:00 a.m.,"The Future of Marketing: How to Thrive in a World of Disruption",Social Marketing Trends,"Instructor: Michael Stelzner",20AB,"Are you feeling a little overwhelmed? Do you want to not just survive but actually thrive in a world of disruption? In his keynote presentation, Michael Stelzner, founder of Social Media Examiner and host of the Social Media Marketing podcast, will show you a clear way forward. You'll walk away with actionable steps you can take to thrive in an ever-changing marketing world."
2024-02-19,09:45 a.m.,"How to Optimize Your Instagram Strategy to Hit Your Business Goals",Instagram Marketing,"Instructor: Millie Adrian",30ABCDE,"Want to grow your Instagram presence but aren’t sure what will make the most difference? Wondering how your goals can impact growth? In this training session, Instagram expert and online educator Millie Adrian walks you through how to optimize your Instagram strategy from end to end to stimulate growth and reach new followers. You’ll learn how to fully optimize your profile and bio to appeal to the right audience, align your strategy with your business goals, and make the most of the algorithms. Plus, you’ll get unique tips for growth across the entire platform, including for using Reels and Stories. At the end of this session, you’ll understand how to use your goals to adapt your Instagram strategy and what changes to make for maximum impact on the platform."
2024-02-19,09:45 a.m.,"LinkedIn Content Magic: Write Your Way to Business Success",LinkedIn Marketing,"Instructor: Michaela Alexis",29ABCD,"LinkedIn has hit the billion-user mark, making it a powerhouse for business growth and networking. But how do you create and publish content that reaches the right people and cuts through all the noise? If you've been investing time and effort into your LinkedIn content but aren't seeing the engagement or lead generation results you want, this session is crafted for you. As a seasoned LinkedIn trainer and coach who specializes in creating viral content and is an official LinkedIn Learning Instructor, Michaela Alexis is perfectly positioned to guide you through the labyrinth of content creation that truly resonates with clients and prospects. Key takeaways include: - A copywriting framework for crafting LinkedIn posts that drive engagement and lead conversion. - Advanced personal branding techniques to position yourself as a thought leader in your industry. - Best practices for using LinkedIn analytics to refine and target your content strategy. You'll leave with actionable insights and a clear plan to amplify your LinkedIn strategy and marketing efforts. Before joining, take a moment to assess your LinkedIn strategy and note any challenges you face. This prep will set you up to gain the full benefit of the session's content. Get ready to transform your LinkedIn presence and start writing your way to the business success you deserve!"
2024-02-19,09:45 a.m.,"Mastering YouTube Thumbnails: Your Path to More Views, Subscribers, and Sales",YouTube Marketing,"Instructor: Jessica Stansberry",31ABC,"So, you're trying to NAIL your YouTube strategy so you can get more views, subscribers, and sales, but something is falling flat, right? We'll jump out on a limb and tell you it's PROBABLY your thumbnails. As the MOST OVERLOOKED piece of YouTube strategy, it is BY FAR the reason most businesses aren't seeing the results they hope to see on YouTube. In this session, Jessica Stansberry, who mastered how to create the PERFECT thumbnails for her videos to attract clicks, views, and subscribers and now teaches and consults other 6-figure business owners how to do the same, is ready to make understand how to make YOUR thumbnails stand-out super freakin' easy! You'll learn: - WHY Thumbnails are THE MOST IMPORTANT (and overlooked) part of Your YouTube Strategy - THE FORMULA you need to create the PERFECT thumbnail for every video - HOW to measure whether your thumbnail is working or not Come prepared to take notes, learn a ton, and upgrade your YouTube game!"
